Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
284-54-3567,C,Naypyitaw,Member,Female,Home and lifestyle,17.22,6,5.166,108.486,2025-01-09,12:30,Cash,103.32,4.761904762,5.166,7.5
383-14-9848,A,Yangon,Member,Female,Health and beauty,57.01,3,8.5515,179.5815,2025-01-18,19:41,Cash,171.03,4.761904762,8.5515,4.8
712-45-4730,C,Naypyitaw,Member,Female,Home and lifestyle,46.94,7,16.429,345.009,2025-01-10,18:35,Cash,328.58,4.761904762,16.429,4.6
153-20-2708,C,Naypyitaw,Normal,Male,Fashion accessories,75.26,4,15.052,316.092,2025-02-05,18:40,Credit card,301.04,4.761904762,15.052,10.0
658-21-7538,A,Yangon,Normal,Male,Health and beauty,20.08,9,9.036,189.756,2025-01-01,18:01,Ewallet,180.72,4.761904762,9.036,5.0
586-14-2207,A,Yangon,Member,Male,Electronic accessories,45.81,5,11.4525,240.5025,2025-02-26,11:15,Credit card,229.05,4.761904762,11.4525,4.4
119-50-1557,C,Naypyitaw,Normal,Female,Home and lifestyle,97.25,3,14.5875,306.3375,2025-03-20,18:27,Credit card,291.75,4.761904762,14.5875,9.0
623-79-1882,B,Mandalay,Normal,Male,Health and beauty,87.9,2,8.79,184.59,2025-01-21,12:40,Cash,175.8,4.761904762,8.79,7.0
246-35-6867,C,Naypyitaw,Member,Female,Electronic accessories,83.54,2,8.354,175.434,2025-03-19,14:31,Credit card,167.08,4.761904762,8.354,7.6
919-79-1007,C,Naypyitaw,Member,Male,Home and lifestyle,33.21,3,4.9815,104.6115,2025-02-21,15:33,Cash,99.63,4.761904762,4.9815,9.0
794-84-9125,C,Naypyitaw,Normal,Female,Sports and travel,25.38,2,2.538,53.298,2025-01-22,17:58,Ewallet,50.76,4.761904762,2.538,6.3
315-32-5494,C,Naypyitaw,Normal,Male,Home and lifestyle,70.18,4,14.036,294.756,2025-01-08,18:47,Credit card,280.72,4.761904762,14.036,5.6
814-33-3808,A,Yangon,Normal,Female,Food and beverages,93.64,2,9.364,196.644,2025-01-21,11:37,Credit card,187.28,4.761904762,9.364,6.1
